4,237961728,-3132,-1316,-16492,-166,21,148,-9985,14336,5375,2620,-26737,13184,1024,1024,688,
4,640614912,-3072,-1280,-16288,-166,-11,173,-8961,15360,4351,-7731,1059,17066,1024,1024,688,
4,1060045312,-3112,-1256,-16540,-171,24,135,-8705,17152,5631,29132,22809,-17781,1024,1024,688,
4,1462698496,-3160,-1272,-16504,-156,6,117,-8705,15616,4607,-22254,1191,-20112,1024,1024,688,
4,1865351680,-3088,-1312,-16324,-170,-26,137,-8705,15104,5631,-11803,10094,-11063,1024,1024,688,
4,2284782080,-3080,-1268,-16500,-141,-29,119,-10241,15104,5119,-3614,-10203,32415,1024,1024,688,
4,2687435264,-3080,-1236,-16156,-160,-11,139,-10241,15616,4095,17424,-15145,-28105,1024,1024,688,
4,3106865664,-2936,-1332,-16424,-140,-12,134,-9985,15360,3839,32240,-4234,25536,1024,1024,688,
4,3492741632,-3164,-1252,-16304,-158,19,127,-9217,15616,5631,11004,17377,-25700,1024,1024,688,
4,3912172032,-3072,-1200,-16332,-168,-1,160,-8449,15872,4351,10373,24433,-18523,1024,1024,688,
4,36700672,-3212,-1308,-16472,-132,9,114,-9729,16128,5119,-13865,-6323,10416,1024,1024,688,
4,439353856,-3208,-1256,-16320,-160,6,125,-8449,14336,5887,-5539,-20775,-14836,1024,1024,688,
4,858784256,-3060,-1260,-16368,-143,-13,126,-8449,14336,4351,21609,1493,-27282,1024,1024,688,
4,1244660224,-3144,-1304,-16296,-166,-11,117,-7425,16384,5887,2817,-20995,-11162,1024,1024,688,
4,1664090624,-3108,-1300,-16400,-146,12,113,-8705,16128,4095,6889,-3329,-4591,1024,1024,688,
4,2066743808,-3092,-1248,-16216,-139,0,135,-8961,15872,5375,19991,-30200,6103,1024,1024,688,
4,2486174208,-3080,-1212,-16308,-177,3,134,-10241,15104,4607,-9808,22592,-26003,1024,1024,688,
4,2905604608,-3040,-1256,-16500,-142,-9,141,-8449,14848,4351,30172,-31733,31599,1024,1024,688,
4,3291480576,-3172,-1376,-16372,-159,-2,124,-8961,13824,5375,-27493,-4140,-3275,1024,1024,688,
4,3710910976,-3068,-1276,-16456,-142,11,131,-8961,14848,5887,22535,2557,29419,1024,1024,688,
4,4113564160,-3104,-1228,-16420,-151,-16,116,-8961,16384,4351,-443,-30764,4564,1024,1024,688,
4,238092800,-3136,-1296,-16388,-139,7,135,-10241,16128,5631,14520,30480,31990,1024,1024,688,
4,640745984,-3028,-1164,-16248,-156,10,112,-9217,16128,4607,22757,23144,-25676,1024,1024,688,
